square_id,total_internet_traffic
5161,12740060.0
5059,11170854.0
5259,10485780.0
5061,9584334.0
5258,8707440.0
5159,8703873.0
6064,8675343.0
4855,8491044.0
4856,8230212.0
5262,8163357.0
5857,8145514.0
6058,7939203.0
4956,7857683.0
4459,7750012.0
5256,7632094.0
5162,7451156.5
4857,7239224.5
4755,7209967.0
5567,7110181.0
5758,7050784.0
6169,7029757.5
5263,6940202.5
5163,6922888.0
4961,6892405.5
5957,6885431.0
4955,6881968.0
6065,6708543.5
5261,6537499.5
5255,6508169.5
6165,6384390.5
5156,6353382.0
6260,6336046.0
4457,6320777.5
5965,6187575.0
4761,6148952.5
4754,6101785.0
4654,6069286.0
5361,6033530.0
5967,5985376.5
4959,5940149.5
5959,5919667.0
4854,5840634.0
4957,5838197.5
5158,5783072.5
5854,5716917.5
5954,5701441.5
4655,5686285.5
4456,5679993.0
6067,5649657.0
5467,5626396.5
4861,5602532.5
6164,5599228.0
5964,5503390.5
5955,5455829.0
4762,5405702.0
4653,5395329.0
5359,5389762.5
4462,5377248.5
5367,5338228.0
5160,5322452.0
5458,5316080.0
6066,5315234.5
5856,5314696.5
4758,5304066.5
5155,5291926.0
5360,5285635.0
6068,5267147.5
4559,5264009.5
5963,5234036.0
6063,5229338.0
4958,5226173.0
4968,5205263.5
4756,5202675.5
4759,5192894.5
5068,5186525.0
4460,5142688.5
5056,5116064.0
5968,5113583.0
5062,5099398.5
5157,5073034.0
5461,5064295.5
5349,5049017.0
4954,5030347.5
5063,5000138.5
6059,4986294.0
4962,4983414.5
4760,4963349.0
5260,4957698.5
4948,4956749.5
6268,4944866.0
4757,4894188.0
5060,4885013.0
4648,4857463.5
4960,4808627.5
5958,4779052.0
5568,4776081.0
5358,4732396.0
6269,4731484.5
5154,4730222.5
5257,4701360.5
5858,4698705.5
5254,4671103.0
5765,4649988.5
4860,4635312.5
4656,4620702.5
4256,4613842.5
5252,4586897.0
6264,4581521.5
4556,4574671.5
5055,4571991.0
4660,4554488.0
5861,4526155.5
4554,4503130.5
5248,4496910.5
5966,4491045.5
4659,4490324.5
5148,4489638.5
6069,4486796.5
4853,4470890.0
5862,4469237.5
5658,4461190.0
5766,4417478.0
4858,4415739.5
5460,4412803.5
5855,4374571.5
4458,4372017.5
4555,4364235.0
6158,4350596.0
5956,4340693.0
5757,4318455.5
5147,4310280.0
5072,4282802.5
4548,4280533.0
5659,4274636.5
5566,4240015.0
5151,4235582.5
4953,4216706.5
4553,4209265.0
4257,4208612.0
5752,4205534.0
4560,4187363.5
4859,4159907.5
6674,4155987.0
5667,4140388.0
4558,4134730.5
4753,4134388.8
5867,4124376.2
5866,4097398.5
5368,4093187.5
4967,4069078.5
6371,4065616.5
6345,4058600.2
5047,4050838.8
4362,4050156.2
5268,4044971.0
5868,4043504.8
5267,4035400.2
6166,4013173.8
5269,4010898.0
5562,4004319.8
6460,3996118.2
5053,3986956.8
5962,3969587.0
5058,3948744.0
6265,3932943.5
4461,3925701.8
5859,3915989.8
5860,3915196.5
4359,3910082.5
6261,3888047.0
5348,3884167.5
5468,3879760.2
4561,3868923.0
5951,3839272.8
5251,3838202.0
5769,3836482.0
5753,3818608.0
5767,3815737.8
7164,3815218.8
4455,3802058.8
5073,3782989.8
6168,3774418.0
5754,3763342.2
5670,3757900.0
5960,3753241.8
4156,3751296.0
6050,3751122.0
4661,3750146.8
5559,3743418.8
5969,3711776.5
6374,3690301.5
4363,3686150.5
4652,3680260.5
4355,3680021.5
4557,3665256.8
6151,3659828.0
5770,3644868.5
5953,3640208.5
